Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Cameroon,Brazil,1,4,-3,0,1,Group
Croatia,Mexico,1,3,-2,0,1,Group
Italy,Uruguay,0,1,-1,0,1,Group
CostaRica,England,0,0,0,0,0,Group
Japan,Colombia,1,4,-3,0,1,Group
Greece,CotedIvoire,2,1,1,1,0,Group
Nigeria,Argentina,2,3,-1,0,1,Group
Bosnia,Iran,3,1,2,1,0,Group
Honduras,Switzerland,0,3,-3,0,1,Group
Ecuador,France,0,0,0,0,0,Group
UnitedStates,Germany,0,1,-1,0,1,Group
Portugal,Ghana,2,1,1,1,0,Group
Korea,Belgium,0,1,-1,0,1,Group
Algeria,Russia,1,1,0,0,0,Group
Croatia,Brazil,1,3,-2,0,1,Group
Cameroon,Mexico,0,1,-1,0,1,Group
Netherlands,Spain,5,1,4,1,0,Group
Australia,Chile,1,3,-2,0,1,Group
Greece,Colombia,0,3,-3,0,1,Group
CostaRica,Uruguay,3,1,2,1,0,Group
Italy,England,2,1,1,1,0,Group
Japan,CotedIvoire,1,2,-1,0,1,Group
Ecuador,Switzerland,1,2,-1,0,1,Group
Honduras,France,0,3,-3,0,1,Group
Bosnia,Argentina,1,2,-1,0,1,Group
Portugal,Germany,0,4,-4,0,1,Group
Nigeria,Iran,0,0,0,0,0,Group
UnitedStates,Ghana,2,1,1,1,0,Group
Algeria,Belgium,1,2,-1,0,1,Group
Mexico,Brazil,0,0,0,0,0,Group
Korea,Russia,1,1,0,0,0,Group
Netherlands,Australia,3,2,1,1,0,Group
Chile,Spain,2,0,2,1,0,Group
Croatia,Cameroon,4,0,4,1,0,Group
CotedIvoire,Colombia,1,2,-1,0,1,Group
England,Uruguay,1,2,-1,0,1,Group
Greece,Japan,0,0,0,0,0,Group
CostaRica,Italy,1,0,1,1,0,Group
France,Switzerland,5,2,3,1,0,Group
Ecuador,Honduras,2,1,1,1,0,Group
Iran,Argentina,0,1,-1,0,1,Group
Ghana,Germany,2,2,0,0,0,Group
Bosnia,Nigeria,0,1,-1,0,1,Group
Russia,Belgium,0,1,-1,0,1,Group
Algeria,Korea,4,2,2,1,0,Group
Portugal,UnitedStates,2,2,0,0,0,Group
Spain,Australia,3,0,3,1,0,Group
Chile,Netherlands,0,2,-2,0,1,Group
Brazil,Cameroon,4,1,3,1,0,Group
Mexico,Croatia,3,1,2,1,0,Group
Uruguay,Italy,1,0,1,1,0,Group
England,CostaRica,0,0,0,0,0,Group
Colombia,Japan,4,1,3,1,0,Group
CotedIvoire,Greece,1,2,-1,0,1,Group
Argentina,Nigeria,3,2,1,1,0,Group
Iran,Bosnia,1,3,-2,0,1,Group
Switzerland,Honduras,3,0,3,1,0,Group
France,Ecuador,0,0,0,0,0,Group
Germany,UnitedStates,1,0,1,1,0,Group
Ghana,Portugal,1,2,-1,0,1,Group
Belgium,Korea,1,0,1,1,0,Group
Russia,Algeria,1,1,0,0,0,Group
