EDITION,YEAR,host,host_country_code,winner,WIN_LAT,WIN_LON,runner_up,RUP_LAT,RUP_LON,TEAMS,MATCHES,GOALS,AVERAGE_GOALS,AVERAGE_ATTENDANCE,TEAM_NAMES,TEAM_LIST
1974 FIFA World Cup Germany,1974,Germany,DEU,Germany,52.52,13.405,Netherlands,52.3702,4.8952,16,38,97,2.6,49098,"Zaire,Australia,Bulgaria,Germany,Italy,Netherlands,Poland,Scotland,Sweden,Yugoslavia,Haiti,Argentina,Brazil,Chile,Uruguay","AUS,BGR,DEU,ITA,NLD,POL,SWE,HTI,ARG,BRA,CHL,URY"
1970 FIFA World Cup Mexico ,1970,Mexico,MEX,Brazil,-15.7942,-47.8822,Italy,41.9028,12.4964,16,32,95,3,50124,"Morocco,Belgium,Bulgaria,Czechoslovakia,England,Germany FR,Israel,Italy,Romania,Soviet Union,Sweden,El Salvador,Mexico,Brazil,Peru,Uruguay","MAR,BEL,BGR,GBR,DEU,ISR,ITA,ROU,RUS,SWE,SLV,MEX,BRA,PER,URY"
1966 FIFA World Cup England ,1966,England,GBR,England,51.5074,-0.1278,Germany,52.52,13.405,16,32,89,2.8,48847,"Korea DPR,Bulgaria,England,France,Germany FR,Hungary,Italy,Portugal,Soviet Union,Spain,Switzerland,Mexico,Argentina,Brazil,Chile,Uruguay","KOR,BGR,GBR,FRA,DEU,HUN,ITA,PRT,RUS,ESP,CHE,MEX,ARG,BRA,CHL,URY"
1962 FIFA World Cup Chile ,1962,Chile,CHL,Brazil,-15.7942,-47.8822,Czechoslovakia,50.0755,14.4378,16,32,89,2.8,27911,"Bulgaria,Czechoslovakia,England,Germany FR,Hungary,Italy,Soviet Union,Spain,Switzerland,Yugoslavia,Mexico,Argentina,Brazil,Chile,Colombia,Uruguay","BGR,GBR,DEU,HUN,ITA,RUS,ESP,CHE,MEX,ARG,BRA,CHL,COL,URY"
1958 FIFA World Cup Sweden ,1958,Sweden,SWE,Brazil,-15.7942,-47.8822,Sweden,59.3293,18.0686,16,35,126,3.6,23423,"Austria,Czechoslovakia,England,France,Germany FR,Hungary,Northern Ireland,Scotland,Soviet Union,Sweden,Wales,Yugoslavia,Mexico,Argentina,Brazil,Paraguay","AUT,GBR,FRA,DEU,HUN,RUS,SWE,MEX,ARG,BRA,PRY"
1954 FIFA World Cup Switzerland ,1954,Switzerland,CHE,Germany,52.52,13.405,Hungary,47.4979,19.0402,16,26,140,5.4,29561,"Korea Republic,Austria,Belgium,Czechoslovakia,England,France,Germany FR,Hungary,Italy,Scotland,Switzerland,Turkey,Yugoslavia,Mexico,Brazil,Uruguay","KOR,AUT,BEL,GBR,FRA,DEU,HUN,ITA,CHE,TUR,MEX,BRA,URY"
1950 FIFA World Cup Brazil ,1950,Brazil,BRA,Uruguay,-34.9011,-56.1645,Brazil,-15.7942,-47.8822,13,22,88,4,47511,"England,Italy,Spain,Sweden,Switzerland,Yugoslavia,Mexico,USA,Bolivia,Brazil,Chile,Paraguay,Uruguay","GBR,ITA,ESP,SWE,CHE,MEX,USA,BOL,BRA,CHL,PRY,URY"
1938 FIFA World Cup France ,1938,France,FRA,Italy,41.9028,12.4964,Hungary,47.4979,19.0402,15,18,84,4.7,20872,"Dutch East Indies,Belgium,Czechoslovakia,France,Germany,Hungary,Italy,Netherlands,Norway,Poland,Romania,Sweden,Switzerland,Cuba,Brazil","BEL,FRA,DEU,HUN,ITA,NLD,NOR,POL,ROU,SWE,CHE,CUB,BRA"
1934 FIFA World Cup Italy ,1934,Italy,ITA,Italy,41.9028,12.4964,Czechoslovakia,50.0755,14.4378,16,17,70,4.1,21352,"Egypt,Austria,Belgium,Czechoslovakia,France,Germany,Hungary,Italy,Netherlands,Romania,Spain,Sweden,Switzerland,USA,Argentina,Brazil","EGY,AUT,BEL,FRA,DEU,HUN,ITA,NLD,ROU,ESP,SWE,CHE,USA,ARG,BRA"
1930 FIFA World Cup Uruguay ,1930,Uruguay,URY,Uruguay,-34.9011,-56.1645,Argentina,-34.6037,-58.3816,13,18,70,3.9,32808,"Belgium,France,Romania,Yugoslavia,Mexico,USA,Argentina,Bolivia,Brazil,Chile,Paraguay,Peru,Uruguay","BEL,FRA,ROU,MEX,USA,ARG,BOL,BRA,CHL,PRY,PER,URY"
